No.,Time,Status,Duration (Seconds),IP Address,Country,Region,City / Town / District,Latitude,Longitude,Q1.002,Q1.004,Q2.Male,Q2.Female,Q2.NonBinary,Q2.PreferNotToAnswer,Q3.Age,Q4.Height,Q5.CountryOfCitizenship,Q6.UndergradDegree,Q7.ExpectedGraduation,Q8.MicrosoftWindows,Q8.AppleMacBook,Q8.Other,Q9.YesFullTime,Q9.WorkingButNotFullTime,Q9.NotWorking,Q10.Little/None,Q10.SomeFamiliarity,Q10.AverageUser,Q10.FrequentUseForproj,Q10.FluentExpert,Q11.Little/none,Q11.Some familiarity,Q11.Average user,Q11.Frequent use for projects,Q11.Fluent/expert,Q12.Little/none,Q12.Some familiarity,Q12.Average user,Q12.Frequent use for projects,Q12.Fluent/expert,Q13.Yes,Q13.No,Q14.Yes,Q14.No,Q14.NotSure,Q15.GoalForLearningDataAnalytics
1,10/3/2023 17:49,Completed,11646,100.36.167.226,United States,Virginia,Fairfax,-77.2891,38.8209,0.0,1.0,0.0,1.0,0.0,0.0,23,63,Taiwan,Economics,12/31/2021,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Not Provided
2,10/3/2023 17:49,Completed,113,98.169.26.134,United States,Virginia,Fairfax,-77.263,38.8605,1.0,0.0,0.0,1.0,0.0,0.0,24,59,India,Finance ,5/1/2021,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Not Provided
3,10/3/2023 17:49,Completed,572,98.169.52.23,United States,Virginia,Greenway Downs,-77.2331,38.9645,1.0,0.0,1.0,0.0,0.0,0.0,40,70,India,Computer Applications,6/1/2022,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"As part of my work, I have access to a lot of valuable row data. I know I could use them for generating meaningful information and to take informed decisions. The goal is to use the techniques learned in these data analytics sessions to be used at work and also outside work to do some research activities."
4,10/3/2023 17:50,Completed,365,69.255.182.253,United States,Virginia,Gainesville,-77.6308,38.8175,1.0,0.0,0.0,0.0,0.0,1.0,26,66,South Korea,Business Management,12/31/2021,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Not Provided
5,10/3/2023 17:51,Completed,92,138.88.108.230,United States,Unknown,Unknown,-97.822,37.751,1.0,0.0,1.0,0.0,0.0,0.0,30,70,United States,Yes,1/1/2021,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Learn
6,10/3/2023 17:59,Incomplete,221,108.56.134.80,United States,Virginia,Reston,-77.3489,38.9311,1.0,0.0,0.0,1.0,0.0,0.0,25,Not Provided,Not Provided,Not Provided,Not Provided,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Not Provided
7,10/3/2023 18:23,Completed,115983,108.48.175.220,United States,Virginia,Arlington,-77.0987,38.86,1.0,0.0,0.0,0.0,1.0,0.0,24,70,Pakistan,Finance,7/15/2022,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,To deduce meaningful interpretation for Financial data in order to hedge against risks and provide higher returns.
8,10/3/2023 19:10,Incomplete,40,173.67.199.85,United States,Virginia,Ashburn,-77.539,39.018,1.0,0.0,0.0,1.0,0.0,0.0,30,5.2,Not Provided,Not Provided,Not Provided,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Not Provided
9,10/3/2023 19:25,Completed,137,74.96.114.12,United States,Virginia,Woodbridge,-77.3197,38.678,1.0,0.0,1.0,0.0,0.0,0.0,24,71,China,Economic,12/15/2021,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Not Provided
10,10/3/2023 19:56,Incomplete,179,107.77.241.32,United States,Texas,Unknown,-96.8217,32.7787,0.0,1.0,1.0,0.0,0.0,0.0,26,71,Uzbekistan ,Economics With Finance ,Not Provided,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Not Provided
11,10/3/2023 20:14,Completed,127,138.88.182.245,United States,Maryland,Takoma Park,-77.004,38.9827,1.0,0.0,0.0,1.0,0.0,0.0,24,66,United States,Bit,5/1/2022,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,To see if it is a field I am interested in pursuing as a career after graduating.
12,10/3/2023 21:38,Completed,269,72.83.246.60,United States,Virginia,Fairfax,-77.263,38.8605,0.0,1.0,0.0,1.0,0.0,0.0,25,66,India,Computer Engineering,5/31/2021,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,To learn and explore cutting edge data technologies and build applications that would be helpful for society.
13,10/3/2023 21:41,Completed,117,96.241.43.105,United States,Virginia,Chantilly,-77.4512,38.9036,1.0,0.0,1.0,0.0,0.0,0.0,25,69,Romania,Biology,8/26/2021,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Learn to select the appropriate tools to conduct data analysis. 
14,10/3/2023 22:49,Completed,5966,71.191.72.223,United States,Virginia,Burke,-77.2866,38.7851,1.0,0.0,0.0,1.0,0.0,0.0,23,66,India,Cse,12/25/2021,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Not Provided
15,10/3/2023 23:25,Completed,254,73.134.53.227,United States,Maryland,Hyattsville,-76.8696,38.9544,0.0,1.0,0.0,1.0,0.0,0.0,31,67,China,Management,12/31/2021,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,improve my skills
16,10/4/2023 0:28,Completed,526,73.86.219.52,United States,Maryland,Baltimore,-76.6355,39.3555,0.0,1.0,1.0,0.0,0.0,0.0,26,72,Uzbekistan,Economics With Finance,5/1/2022,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,My professional goal is to become a Financial Data Analyst
17,10/4/2023 5:22,Completed,398,69.138.215.127,United States,Virginia,Arlington,-77.113,38.8747,1.0,0.0,1.0,0.0,0.0,0.0,40,68,United States,Economics,5/31/2022,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,able to compliment my Computational Social Science degree. 
18,10/4/2023 5:36,Completed,128253,72.196.231.70,United States,Virginia,Springfield,-77.2333,38.7438,1.0,0.0,1.0,0.0,0.0,0.0,23,60,India ,Engineering ,1/12/2021,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,To start a company 
19,10/4/2023 5:47,Completed,239,100.15.54.17,United States,Virginia,Woodbridge,-77.3197,38.678,0.0,1.0,1.0,0.0,0.0,0.0,25,67,Ethiopia,Accounting And Isom,12/20/2021,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,To be able understand and manipulate data to make informed and better decisions.
20,10/4/2023 10:32,Completed,255,184.170.83.239,United States,Virginia,Rustburg,-79.0985,37.2544,0.0,1.0,0.0,1.0,0.0,0.0,22,67,United States,Statistics,12/20/2021,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,My ultimate goal is to get a job as a sports analyst- this is a much needed step to grow my skills in order to land a job and be good at what I do.  
21,10/4/2023 11:03,Completed,256,100.36.243.102,United States,Virginia,Fairfax,-77.3375,38.8357,0.0,1.0,1.0,0.0,0.0,0.0,23,74,United States,Computer Science ,5/1/2022,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,To understand how to properly interpret and display data  
22,10/4/2023 12:34,Completed,674,108.56.134.80,United States,Virginia,Reston,-77.3489,38.9311,1.0,0.0,0.0,1.0,0.0,0.0,25,65,India,Computer Science ,4/16/2022,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"After graduating data analytics, I want myself to be good in analyzing real problems,predictions etc"
23,10/4/2023 13:36,Completed,130,73.163.163.82,United States,Maryland,Baltimore,-76.557,39.2784,0.0,1.0,0.0,1.0,0.0,0.0,22,67,United States,Mathematics & Statistics,12/18/2021,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Learning how to appropriately handle large quantities of data
24,10/4/2023 13:50,Completed,275,138.88.223.87,United States,Unknown,Unknown,-97.822,37.751,0.0,1.0,1.0,0.0,0.0,0.0,23,75,Nigeria ,Economics,5/14/2021,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,To learn and understand the fundamentals and methodology for analyzing large datasets and creating models that help analyze data efficiently.
25,10/4/2023 21:28,Completed,325,100.36.50.114,United States,Unknown,Unknown,-97.822,37.751,0.0,1.0,0.0,1.0,0.0,0.0,27,67,United States,Systems Engineering,12/19/2022,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,The goal is to learn as many programming/statistical tools I can.  
26,10/5/2023 9:37,Completed,257,108.51.59.195,United States,Virginia,Burke,-77.2866,38.7851,1.0,0.0,1.0,0.0,0.0,0.0,28,68,Taiwan,Civil Engineering,5/30/2021,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Learning analytics tool and being good at them
27,10/5/2023 9:36,Completed,657,72.83.246.219,United States,Virginia,Fairfax,-77.263,38.8605,1.0,0.0,1.0,0.0,0.0,0.0,23,72,India,Ece,12/11/2021,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,I want to be as a data analyst 
28,10/5/2023 10:36,Completed,1750,100.36.118.186,United States,Virginia,Burke,-77.2866,38.7851,0.0,1.0,1.0,0.0,0.0,0.0,35,61,Nigeria,Quantity Surveying,5/24/2023,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,It is very relevant to my PhD research area and I love it.
29,10/5/2023 11:02,Completed,887,172.58.187.98,United States,Maryland,Baltimore,-76.6949,39.282,0.0,1.0,0.0,1.0,0.0,0.0,27,64,India,Bachelor Of Engineering,12/30/2021,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,"Learn how to handle large amount structured and unstructured data, machine learning algorithms, data visualization techniques and deployment process in real time. "
30,10/5/2023 11:17,Completed,180,72.196.230.201,United States,Virginia,Springfield,-77.2333,38.7438,1.0,0.0,1.0,0.0,0.0,0.0,25,71,India,B.Tech In Cs,12/15/2021,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,To become a good Data Analyst and work for top it companies.
31,10/5/2023 12:52,Completed,392,108.18.111.204,United States,Virginia,Lorton,-77.206,38.6911,0.0,1.0,0.0,1.0,0.0,0.0,55,56,United States,Bs Accounting,5/1/2021,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Get a better understanding of the granularity behind data and the lyricsLearn tools and techniques in data analytics to refresh my skills 
32,10/5/2023 12:56,Incomplete,192,71.191.72.223,United States,Virginia,Burke,-77.2866,38.7851,1.0,0.0,0.0,1.0,0.0,0.0,23,70,India,Bachelor Of Engineering,12/21/2021,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Not Provided
33,10/5/2023 13:52,Completed,277,184.191.72.8,United States,Virginia,Falls Church,-77.1425,38.8472,1.0,0.0,1.0,0.0,0.0,0.0,1993,70,United States,Criminology Law And Soci,12/18/2021,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Learn how data analytics works
34,10/5/2023 15:34,Completed,119,141.156.160.243,United States,Unknown,Unknown,-97.822,37.751,0.0,1.0,1.0,0.0,0.0,0.0,23,73,United States,Economics,5/15/2022,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Advance my career in data science
35,10/5/2023 15:41,Completed,149,71.206.51.121,United States,Maryland,Frederick,-77.2758,39.4624,1.0,0.0,1.0,0.0,0.0,0.0,24,68,Vietnam,Finance,12/12/2022,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Getting a good job
36,10/5/2023 17:58,Completed,285,129.174.252.234,United States,Virginia,Fairfax,-77.3375,38.8357,0.0,1.0,0.0,1.0,0.0,0.0,28,66,Uzbekistan,Psychology,12/20/2021,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,to use the skills at work.
